time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
2.507163323782235151e-02,-3.335858649516013941e+01,0.000000000000000000e+00,1.109485156697845241e-07,1.190284689298458076e+01,1.390959049293063003e+02,1.350000000000000000e+02,1.601082804054002295e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.210378246329294850e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.607449856733524626e-02,-3.508046084986279567e+01,0.000000000000000000e+00,1.109511429321259939e-07,1.190303713959684551e+01,1.390950951286550890e+02,1.350000000000000000e+02,1.601083182617729150e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.880703914862397002e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.707736389684814102e-02,-3.663163239831867912e+01,0.000000000000000000e+00,1.109532833622213796e-07,1.190319327322744947e+01,1.390943809385284453e+02,1.350000000000000000e+02,1.601083531284387007e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.602501135774088983e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.808022922636103230e-02,-3.803611800411402299e+01,0.000000000000000000e+00,1.109550037564608798e-07,1.190332004949326361e+01,1.390937489430894516e+02,1.350000000000000000e+02,1.601083853471947549e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.360112682564527985e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.908309455587392706e-02,-3.931124354376547103e+01,0.000000000000000000e+00,1.109563746455938989e-07,1.190342239856716411e+01,1.390931879689122468e+02,1.350000000000000000e+02,1.601084152073130085e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.144469438292660491e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682181e-02,-4.047045989573980052e+01,0.000000000000000000e+00,1.109574615145494837e-07,1.190350485561533667e+01,1.390926886364497079e+02,1.350000000000000000e+02,1.601084429588179248e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.950292877576320062e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.108882521489971656e-02,-4.152492018846078281e+01,0.000000000000000000e+00,1.109583210238390737e-07,1.190357132449703670e+01,1.390922430261714169e+02,1.350000000000000000e+02,1.601084688206922024e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.774371514491587076e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.209169054441261132e-02,-4.248431758901769228e+01,0.000000000000000000e+00,1.109590001464759860e-07,1.190362503304552710e+01,1.390918444205301512e+02,1.350000000000000000e+02,1.601084929862533812e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.614564140925652694e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.309455587392550607e-02,-4.335731007849920360e+01,0.000000000000000000e+00,1.109595368038505127e-07,1.190366858490934732e+01,1.390914870987278675e+02,1.350000000000000000e+02,1.601085156269612142e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.469262662925401323e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.409742120343840083e-02,-4.415173107187085577e+01,0.000000000000000000e+00,1.109599611232091741e-07,1.190370404989154274e+01,1.390911661704207916e+02,1.350000000000000000e+02,1.601085368953332377e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.337124760302960213e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
